System,Level,AttributeValue,AtkMultiplier,HPMultiplier,CostGold,CostStamina,SuccessRate,IsBreakthrough
强化_v1,85,6646.3449,305.2663,6646.3449,856.26,0,60%,False
强化_v1,86,6774.5802,309.0819,6774.5802,899.07,0,52%,False
强化_v1,87,6905.2897,312.9452,6905.2897,944.03,0,44%,False
强化_v1,88,7038.5212,316.8567,7038.5212,991.23,0,36%,False
强化_v1,89,7174.3232,320.8172,7174.3232,0,24.47,28%,True
强化_v1,90,17935.8081,581.9941,17935.8081,1040.79,0,100%,False
强化_v1,91,18281.8637,589.2686,18281.8637,1092.83,0,92%,False
强化_v1,92,18634.5960,596.6340,18634.5960,1147.47,0,84%,False
强化_v1,93,18994.1341,604.0914,18994.1341,1204.84,0,76%,False
强化_v1,94,19360.6091,611.6421,19360.6091,1265.09,0,68%,False
强化_v1,95,19734.1549,619.2871,19734.1549,1328.34,0,60%,False
强化_v1,96,20114.9080,627.0277,20114.9080,1394.76,0,52%,False
强化_v1,97,20503.0074,634.8650,20503.0074,1464.50,0,44%,False
强化_v1,98,20898.5947,642.8004,20898.5947,1537.72,0,36%,False
强化_v1,99,21301.8146,650.8348,21301.8146,0,31.81,28%,True
强化_v1,100,53254.5366,1180.6789,53254.5366,1614.61,0,100%,False
强化_v1,101,54282.0358,1195.4364,54282.0358,1695.34,0,92%,False
强化_v1,102,55329.3596,1210.3784,55329.3596,1780.10,0,84%,False
强化_v1,103,56396.8907,1225.5072,56396.8907,1869.11,0,76%,False
强化_v1,104,57485.0188,1240.8250,57485.0188,1962.57,0,68%,False
强化_v1,105,58594.1414,1256.3343,58594.1414,2060.69,0,60%,False
强化_v1,106,59724.6635,1272.0375,59724.6635,2163.73,0,52%,False
强化_v1,107,60876.9980,1287.9369,60876.9980,2271.91,0,44%,False
强化_v1,108,62051.5659,1304.0351,62051.5659,2385.51,0,36%,False
强化_v1,109,63248.7959,1320.3345,63248.7959,0,41.36,28%,True
强化_v1,110,158121.9898,2395.2176,158121.9898,2504.79,0,100%,False
强化_v1,111,161172.8137,2425.1559,161172.8137,2630.03,0,92%,False
强化_v1,112,164282.5006,2455.4684,164282.5006,2761.53,0,84%,False
强化_v1,113,167452.1861,2486.1598,167452.1861,2899.60,0,76%,False
强化_v1,114,170683.0279,2517.2348,170683.0279,3044.58,0,68%,False
强化_v1,115,173976.2059,2548.6982,173976.2059,3196.81,0,60%,False
强化_v1,116,177332.9229,2580.5548,177332.9229,3356.65,0,52%,False
强化_v1,117,180754.4048,2612.8097,180754.4048,3524.49,0,44%,False
强化_v1,118,184241.9011,2645.4677,184241.9011,3700.71,0,36%,False
强化_v1,119,187796.6856,2678.5339,187796.6856,0,53.76,28%,True
强化_v1,120,469491.7141,4859.1259,469491.7141,3885.74,0,100%,False
强化_v1,121,478550.1414,4919.8611,478550.1414,4080.03,0,92%,False
强化_v1,122,487783.3430,4981.3554,487783.3430,4284.03,0,84%,False
强化_v1,123,497194.6911,5043.6183,497194.6911,4498.24,0,76%,False
强化_v1,124,506787.6228,5106.6595,506787.6228,4723.15,0,68%,False
强化_v1,125,516565.6416,5170.4886,516565.6416,4959.30,0,60%,False
强化_v1,126,526532.3187,5235.1155,526532.3187,5207.27,0,52%,False
强化_v1,127,536691.2940,5300.5503,536691.2940,5467.63,0,44%,False
强化_v1,128,547046.2777,5366.8029,547046.2777,5741.02,0,36%,False
强化_v1,129,557601.0517,5433.8836,557601.0517,0,69.89,28%,True
强化_v1,130,1394002.6293,9857.6033,1394002.6293,6028.07,0,100%,False
强化_v1,131,1420898.6769,9980.8154,1420898.6769,6329.47,0,92%,False
强化_v1,132,1448313.6598,10105.5675,1448313.6598,6645.94,0,84%,False
强化_v1,133,1476257.5906,10231.8789,1476257.5906,6978.24,0,76%,False
强化_v1,134,1504740.6749,10359.7692,1504740.6749,7327.15,0,68%,False
强化_v1,135,1533773.3150,10489.2579,1533773.3150,7693.51,0,60%,False
强化_v1,136,1563366.1143,10620.3652,1563366.1143,8078.18,0,52%,False
强化_v1,137,1593529.8804,10753.1112,1593529.8804,8482.09,0,44%,False
强化_v1,138,1624275.6298,10887.5164,1624275.6298,8906.20,0,36%,False
强化_v1,139,1655614.5911,11023.6016,1655614.5911,0,90.86,28%,True
强化_v1,140,4139036.4778,19997.9056,4139036.4778,9351.51,0,100%,False
强化_v1,141,4218895.5251,20247.8633,4218895.5251,9819.08,0,92%,False
强化_v1,142,4300295.3820,20500.9453,4300295.3820,10310.04,0,84%,False
强化_v1,143,4383265.7771,20757.1906,4383265.7771,10825.54,0,76%,False
强化_v1,144,4467837.0127,21016.6387,4467837.0127,11366.82,0,68%,False
强化_v1,145,4554039.9753,21279.3298,4554039.9753,11935.16,0,60%,False
强化_v1,146,4641906.1479,21545.3042,4641906.1479,12531.92,0,52%,False
强化_v1,147,4731467.6206,21814.6032,4731467.6206,13158.51,0,44%,False
强化_v1,148,4822757.1027,22087.2681,4822757.1027,13816.44,0,36%,False
强化_v1,149,4915807.9345,22363.3412,4915807.9345,0,118.12,28%,True
强化_v1,150,12289519.8363,40569.3169,12289519.8363,14507.26,0,100%,False
强化_v1,151,12526635.2496,41076.4006,12526635.2496,15232.62,0,92%,False
强化_v1,152,12768325.5951,41589.8225,12768325.5951,15994.25,0,84%,False
强化_v1,153,13014679.1419,42109.6617,13014679.1419,16793.97,0,76%,False
强化_v1,154,13265785.8625,42635.9985,13265785.8625,17633.66,0,68%,False
强化_v1,155,13521737.4652,43168.9141,13521737.4652,18515.35,0,60%,False
强化_v1,156,13782627.4276,43708.4908,13782627.4276,19441.11,0,52%,False
强化_v1,157,14048551.0310,44254.8116,14048551.0310,20413.17,0,44%,False
强化_v1,158,14319605.3951,44807.9611,14319605.3951,21433.83,0,36%,False
强化_v1,159,14595889.5134,45368.0245,14595889.5134,0,153.56,28%,True
强化_v1,160,36489723.7835,82302.0920,36489723.7835,22505.52,0,100%,False
强化_v1,161,37193760.7233,83330.8018,37193760.7233,23630.80,0,92%,False
强化_v1,162,37911381.4330,84372.3696,37911381.4330,24812.34,0,84%,False
强化_v1,163,38642847.9995,85426.9562,38642847.9995,26052.95,0,76%,False
强化_v1,164,39388427.5663,86494.7242,39388427.5663,27355.60,0,68%,False
强化_v1,165,40148392.4312,87575.8385,40148392.4312,28723.38,0,60%,False
强化_v1,166,40923020.1459,88670.4659,40923020.1459,30159.55,0,52%,False
强化_v1,167,41712593.6171,89778.7752,41712593.6171,31667.53,0,44%,False
强化_v1,168,42517401.2099,90900.9375,42517401.2099,33250.90,0,36%,False
强化_v1,169,43337736.8533,92037.1259,43337736.8533,0,199.62,28%,True
强化_v1,170,108344342.1333,166964.4664,108344342.1333,34913.45,0,100%,False
强化_v1,171,110434750.3680,169051.3876,110434750.3680,36659.12,0,92%,False
强化_v1,172,112565491.1803,171164.3937,112565491.1803,38492.08,0,84%,False
强化_v1,173,114737342.7517,173303.8106,114737342.7517,40416.68,0,76%,False
强化_v1,174,116951098.2778,175469.9684,116951098.2778,42437.52,0,68%,False
强化_v1,175,119207566.2584,177663.2016,119207566.2584,44559.39,0,60%,False
强化_v1,176,121507570.7924,179883.8483,121507570.7924,46787.36,0,52%,False
强化_v1,177,123851951.8793,182132.2514,123851951.8793,49126.73,0,44%,False
强化_v1,178,126241565.7253,184408.7576,126241565.7253,51583.07,0,36%,False
强化_v1,179,128677285.0565,186713.7184,128677285.0565,0,259.51,28%,True
强化_v1,180,321693212.6412,338717.1868,321693212.6412,54162.22,0,100%,False
强化_v1,181,327899998.5934,342950.8785,327899998.5934,56870.33,0,92%,False
强化_v1,182,334226538.9898,347237.4879,334226538.9898,59713.85,0,84%,False
强化_v1,183,340675144.3864,351577.6765,340675144.3864,62699.54,0,76%,False
强化_v1,184,347248169.9193,355972.1139,347248169.9193,65834.52,0,68%,False
强化_v1,185,353948016.1651,360421.4783,353948016.1651,69126.24,0,60%,False
强化_v1,186,360777130.0172,364926.4561,360777130.0172,72582.55,0,52%,False
强化_v1,187,367738005.5797,369487.7426,367738005.5797,76211.68,0,44%,False
强化_v1,188,374833185.0782,374106.0414,374833185.0782,80022.26,0,36%,False
强化_v1,189,382065259.7884,378782.0652,382065259.7884,0,337.37,28%,True
强化_v1,190,955163149.4711,687148.2001,955163149.4711,84023.38,0,100%,False
强化_v1,191,973592177.4558,695736.9985,973592177.4558,88224.55,0,92%,False
强化_v1,192,992376777.2323,704433.1500,992376777.2323,92635.77,0,84%,False
强化_v1,193,1011523809.2437,713237.9963,1011523809.2437,97267.56,0,76%,False
强化_v1,194,1031040266.2993,722152.8961,1031040266.2993,102130.94,0,68%,False
强化_v1,195,1050933276.1286,731179.2250,1050933276.1286,107237.49,0,60%,False
强化_v1,196,1071210103.9843,740318.3757,1071210103.9843,112599.36,0,52%,False
强化_v1,197,1091878155.2955,749571.7584,1091878155.2955,118229.33,0,44%,False
强化_v1,198,1112944978.3728,758940.8009,1112944978.3728,124140.80,0,36%,False
强化_v1,199,1134418267.1646,768426.9489,1134418267.1646,0,438.58,28%,True
强化_v1,200,2836045667.9116,1394002.6293,2836045667.9116,130347.84,0,100%,False
强化_v1,201,2890764660.1684,1411426.5381,2890764660.1684,136865.23,0,92%,False
强化_v1,202,2946539406.9737,1429068.2317,2946539406.9737,143708.49,0,84%,False
强化_v1,203,3003390278.1776,1446930.4322,3003390278.1776,150893.91,0,76%,False
强化_v1,204,3061338036.6483,1465015.8958,3061338036.6483,158438.61,0,68%,False
强化_v1,205,3120403845.8552,1483327.4131,3120403845.8552,166360.54,0,60%,False
强化_v1,206,3180609277.5982,1501867.8096,3180609277.5982,174678.57,0,52%,False
强化_v1,207,3241976319.8860,1520639.9462,3241976319.8860,183412.50,0,44%,False
强化_v1,208,3304527384.9665,1539646.7193,3304527384.9665,192583.12,0,36%,False
强化_v1,209,3368285317.5120,1558891.0617,3368285317.5120,0,570.15,28%,True
强化_v1,210,8420713293.7799,2827982.8576,8420713293.7799,202212.28,0,100%,False
强化_v1,211,8583183507.4062,2863330.3628,8583183507.4062,212322.89,0,92%,False
强化_v1,212,8748788440.0753,2899119.6834,8748788440.0753,222939.04,0,84%,False
强化_v1,213,8917588573.4179,2935356.3416,8917588573.4179,234085.99,0,76%,False
强化_v1,214,9089645556.0045,2972045.9289,9089645556.0045,245790.29,0,68%,False
强化_v1,215,9265022225.8600,3009194.1064,9265022225.8600,258079.80,0,60%,False
强化_v1,216,9443782633.4136,3046806.6061,9443782633.4136,270983.79,0,52%,False
强化_v1,217,9625992064.8906,3084889.2318,9625992064.8906,284532.98,0,44%,False
强化_v1,218,9811717066.1566,3123447.8596,9811717066.1566,298759.63,0,36%,False
强化_v1,219,10001025467.0206,3162488.4391,10001025467.0206,0,741.19,28%,True
强化_v1,220,25002563667.5514,5737067.4017,25002563667.5514,313697.61,0,100%,False
强化_v1,221,25484966015.0191,5808776.1180,25484966015.0191,329382.49,0,92%,False
强化_v1,222,25976675889.0243,5881381.1353,25976675889.0243,345851.62,0,84%,False
强化_v1,223,26477872870.0578,5954893.6568,26477872870.0578,363144.20,0,76%,False
强化_v1,224,26988740003.4567,6029325.0256,26988740003.4567,381301.41,0,68%,False
强化_v1,225,27509463866.2564,6104686.7265,27509463866.2564,400366.48,0,60%,False
强化_v1,226,28040234635.3309,6180990.3878,28040234635.3309,420384.80,0,52%,False
强化_v1,227,28581246156.8487,6258247.7834,28581246156.8487,441404.04,0,44%,False
强化_v1,228,29132696017.0689,6336470.8341,29132696017.0689,463474.24,0,36%,False
强化_v1,229,29694785614.5022,6415671.6099,29694785614.5022,0,963.55,28%,True
强化_v1,230,74236964036.2556,11638664.0337,74236964036.2556,486647.96,0,100%,False
强化_v1,231,75669300583.6650,11784137.9488,75669300583.6650,510980.35,0,92%,False
强化_v1,232,77129272797.6413,11931430.1706,77129272797.6413,536529.37,0,84%,False
强化_v1,233,78617413883.9231,12080563.4264,78617413883.9231,563355.84,0,76%,False
强化_v1,234,80134267335.9818,12231560.7277,80134267335.9818,591523.63,0,68%,False
强化_v1,235,81680387133.5148,12384445.3734,81680387133.5148,621099.81,0,60%,False
强化_v1,236,83256337944.7677,12539240.9539,83256337944.7677,652154.80,0,52%,False
强化_v1,237,84862695332.7600,12695971.3544,84862695332.7600,684762.54,0,44%,False
强化_v1,238,86500045965.4909,12854660.7584,86500045965.4909,719000.67,0,36%,False
强化_v1,239,88168987830.1994,13015333.6521,88168987830.1994,0,1252.62,28%,True
强化_v1,240,220422469575.4984,23611104.9433,220422469575.4984,754950.70,0,100%,False
强化_v1,241,224675326129.3984,23906224.7154,224675326129.3984,792698.24,0,92%,False
强化_v1,242,229010237788.2197,24205033.2467,229010237788.2197,832333.15,0,84%,False
强化_v1,243,233428787732.6219,24507576.6436,233428787732.6219,873949.81,0,76%,False
强化_v1,244,237932589689.3348,24813901.5891,237932589689.3348,917647.30,0,68%,False
强化_v1,245,242523288520.5176,25124055.3494,242523288520.5176,963529.66,0,60%,False
强化_v1,246,247202560824.4902,25438085.7815,247202560824.4902,1011706.15,0,52%,False
强化_v1,247,251972115548.0534,25756041.3409,251972115548.0534,1062291.46,0,44%,False
强化_v1,248,256833694610.6250,26077971.0883,256833694610.6250,1115406.03,0,36%,False
强化_v1,249,261789073540.4170,26403924.6980,261789073540.4170,0,1628.40,28%,True
强化_v1,250,654472683851.0425,47899335.7853,654472683851.0425,1171176.33,0,100%,False
强化_v1,251,667100155307.2184,48498038.8572,667100155307.2184,1229735.15,0,92%,False
强化_v1,252,679971262654.2588,49104225.2348,679971262654.2588,1291221.90,0,84%,False
强化_v1,253,693090706631.1456,49717988.4532,693090706631.1456,1355783.00,0,76%,False
强化_v1,254,706463278673.4611,50339423.2170,706463278673.4611,1423572.15,0,68%,False
强化_v1,255,720093862663.2979,50968625.4142,720093862663.2979,1494750.76,0,60%,False
强化_v1,256,733987436712.9335,51605692.1314,733987436712.9335,1569488.29,0,52%,False
强化_v1,257,748149074982.9178,52250721.6690,748149074982.9178,1647962.71,0,44%,False
强化_v1,258,762583949535.2396,52903813.5556,762583949535.2396,1730360.84,0,36%,False
强化_v1,259,777297332222.2484,53565068.5641,777297332222.2484,0,2116.92,28%,True
强化_v1,260,1943243330555.6211,97172342.1748,1943243330555.6211,1816878.89,0,100%,False
强化_v1,261,1980736491530.0525,98386918.0935,1980736491530.0525,1907722.83,0,92%,False
强化_v1,262,2018953049877.1909,99616675.2318,2018953049877.1909,2003108.97,0,84%,False
强化_v1,263,2057906962909.3901,100861803.3427,2057906962909.3901,2103264.42,0,76%,False
强化_v1,264,2097612457232.9980,102122494.5509,2097612457232.9980,2208427.64,0,68%,False
强化_v1,265,2138084033944.1465,103398943.3826,2138084033944.1465,2318849.02,0,60%,False
强化_v1,266,2179336473924.7888,104691346.7953,2179336473924.7888,2434791.47,0,52%,False
强化_v1,267,2221384843240.9199,105999904.2086,2221384843240.9199,2556531.05,0,44%,False
强化_v1,268,2264244498644.9502,107324817.5343,2264244498644.9502,2684357.60,0,36%,False
强化_v1,269,2307931093184.2417,108666291.2082,2307931093184.2417,0,2752.00,28%,True
强化_v1,270,5769827732960.6045,197131420.0693,5769827732960.6045,2818575.48,0,100%,False
强化_v1,271,5881151454794.6465,199595403.8561,5881151454794.6465,2959504.26,0,92%,False
强化_v1,272,5994623069359.0352,202090185.4533,5994623069359.0352,3107479.47,0,84%,False
强化_v1,273,6110284018343.8721,204616149.8087,6110284018343.8721,3262853.44,0,76%,False
强化_v1,274,6228176543020.0068,207173686.6816,6228176543020.0068,3425996.11,0,68%,False
强化_v1,275,6348343699666.2412,209763190.7031,6348343699666.2412,3597295.92,0,60%,False
强化_v1,276,6470829375294.1865,212385061.4367,6470829375294.1865,3777160.71,0,52%,False
强化_v1,277,6595678303676.5195,215039703.4403,6595678303676.5195,3966018.75,0,44%,False
强化_v1,278,6722936081684.4854,217727526.3282,6722936081684.4854,4164319.69,0,36%,False
强化_v1,279,6852649185940.6250,220448944.8348,6852649185940.6250,0,3577.60,28%,True
强化_v1,280,17131622964851.5625,399916230.3679,17131622964851.5625,4372535.67,0,100%,False
强化_v1,281,17462162474481.9863,404914860.7605,17462162474481.9863,4591162.46,0,92%,False
强化_v1,282,17799079451539.2188,409975970.0022,17799079451539.2188,4820720.58,0,84%,False
强化_v1,283,18142496943615.4375,415100339.0282,18142496943615.4375,5061756.61,0,76%,False
强化_v1,284,18492540372397.2617,420288758.5348,18492540372397.2617,5314844.44,0,68%,False
强化_v1,285,18849337579471.7969,425542029.1014,18849337579471.7969,5580586.66,0,60%,False
强化_v1,286,19213018873016.4727,430860961.3139,19213018873016.4727,5859615.99,0,52%,False
强化_v1,287,19583717075389.7305,436246375.8899,19583717075389.7305,6152596.79,0,44%,False
强化_v1,288,19961567571639.9180,441699103.8054,19961567571639.9180,6460226.63,0,36%,False
强化_v1,289,20346708358950.1172,447219986.4228,20346708358950.1172,0,4650.88,28%,True
强化_v1,290,50866770897375.2969,811301370.7072,50866770897375.2969,6783237.96,0,100%,False
强化_v1,291,51848200242592.4531,821441983.6187,51848200242592.4531,7122399.86,0,92%,False
强化_v1,292,52848565398804.8984,831709346.0143,52848565398804.8984,7478519.86,0,84%,False
强化_v1,293,53868231715734.2422,842105042.1604,53868231715734.2422,7852445.85,0,76%,False
强化_v1,294,54907571592201.7500,852630676.1254,54907571592201.7500,8245068.14,0,68%,False
强化_v1,295,55966964612134.5234,863287872.0272,55966964612134.5234,8657321.55,0,60%,False
强化_v1,296,57046797683195.7188,874078274.2839,57046797683195.7188,9090187.63,0,52%,False
强化_v1,297,58147465178089.5859,885003547.8677,58147465178089.5859,9544697.01,0,44%,False
强化_v1,298,59269369078592.8281,896065378.5612,59269369078592.8281,10021931.86,0,36%,False
强化_v1,299,60412919122364.8984,907265473.2184,60412919122364.8984,0,6046.14,28%,True
强化_v1,300,151032297805912.2500,1645869469.9782,151032297805912.2500,10523028.45,0,100%,False
铭文_v1,0,1.0000,1.0000,1.0000,2437.19,0,100%,False
铭文_v1,1,1.1000,1.0639,1.1000,5484.69,0,100%,False
铭文_v1,2,1.2100,1.1319,1.2100,12342.81,0,100%,False
铭文_v1,3,1.3310,1.2042,1.3310,27776.43,0,100%,False
铭文_v1,4,1.4641,1.2812,1.4641,62508.44,0,100%,False
铭文_v1,5,1.6105,1.3631,1.6105,140669.82,0,100%,False
铭文_v1,6,1.7716,1.4502,1.7716,316565.21,0,100%,False
铭文_v1,7,1.9487,1.5429,1.9487,712402.53,0,100%,False
铭文_v1,8,2.1436,1.6415,2.1436,1603200.05,0,100%,False
铭文_v1,9,2.3579,1.7464,2.3579,3607862.53,0,100%,False
铭文_v1,10,2.5937,1.8580,2.5937,8119181.40,0,100%,False
铭文_v1,11,2.8531,1.9768,2.8531,18271512.85,0,100%,False
铭文_v1,12,3.1384,2.1031,3.1384,41118453.41,0,100%,False
铭文_v1,13,3.4523,2.2375,3.4523,92533509.65,0,100%,False
铭文_v1,14,3.7975,2.3805,3.7975,208238630.04,0,100%,False
铭文_v1,15,4.1772,2.5327,4.1772,468622958.40,0,100%,False
铭文_v1,16,4.5950,2.6945,4.5950,1054595283.76,0,100%,False
铭文_v1,17,5.0545,2.8667,5.0545,2373275130.03,0,100%,False
铭文_v1,18,5.5599,3.0500,5.5599,5340849641.17,0,100%,False
铭文_v1,19,6.1159,3.2449,6.1159,12019118444.65,0,100%,False
铭文_v1,20,6.7275,3.4523,6.7275,27047982604.27,0,100%,False
铭文_v1,21,7.4002,3.6729,7.4002,60869136645.10,0,100%,False
铭文_v1,22,8.1403,3.9076,8.1403,136980707586.49,0,100%,False
铭文_v1,23,8.9543,4.1574,8.9543,308263190265.04,0,100%,False
铭文_v1,24,9.8497,4.4231,9.8497,693719547421.50,0,100%,False
铭文_v1,25,10.8347,4.7058,10.8347,1561155615306.91,0,100%,False
铭文_v1,26,11.9182,5.0065,11.9182,3513245178492.10,0,100%,False
铭文_v1,27,13.1100,5.3265,13.1100,7906253267244.89,0,100%,False
铭文_v1,28,14.4210,5.6669,14.4210,17792336586269.71,0,100%,False
铭文_v1,29,15.8631,6.0291,15.8631,40040108822548.06,0,100%,False
铭文_v1,30,17.4494,6.4144,17.4494,90106788770997.25,0,100%,False
铭文_v1,31,19.1943,6.8244,19.1943,202777505391016.22,0,100%,False
铭文_v1,32,21.1138,7.2605,21.1138,456333171489499.69,0,100%,False
铭文_v1,33,23.2252,7.7245,23.2252,1026938185279060.62,0,100%,False
铭文_v1,34,25.5477,8.2182,25.5477,2311035230995730.50,0,100%,False
铭文_v1,35,28.1024,8.7435,28.1024,5200784151825220.00,0,100%,False
铭文_v1,36,30.9127,9.3023,30.9127,11703913220839316.00,0,100%,False
铭文_v1,37,34.0039,9.8968,34.0039,26338640613043612.00,0,100%,False
铭文_v1,38,37.4043,10.5293,37.4043,59272824076298288.00,0,100%,False
铭文_v1,39,41.1448,11.2022,41.1448,133388344736361984.00,0,100%,False
铭文_v1,40,45.2593,11.9182,45.2593,300178889546470976.00,0,100%,False
铭文_v1,41,49.7852,12.6799,49.7852,675526530503447552.00,0,100%,False
铭文_v1,42,54.7637,13.4903,54.7637,1520213810183275520.00,0,100%,False
铭文_v1,43,60.2401,14.3524,60.2401,3421109200477445632.00,0,100%,False
铭文_v1,44,66.2641,15.2697,66.2641,7698909247627743232.00,0,100%,False
铭文_v1,45,72.8905,16.2456,72.8905,17325726870962169856.00,0,100%,False
铭文_v1,46,80.1795,17.2839,80.1795,38990044167578017792.00,0,100%,False
铭文_v1,47,88.1975,18.3885,88.1975,87743709427716521984.00,0,100%,False
铭文_v1,48,97.0172,19.5637,97.0172,197459600482770944000.00,0,100%,False
铭文_v1,49,106.7190,20.8141,106.7190,444365688174327889920.00,0,100%,False
铭文_v1,50,117.3909,22.1443,117.3909,1000006403050902388736.00,0,100%,False
