Level,MonsterAtk,MonsterHP,RewardGold
427,23.45,3043.43,914708.29
428,23.51,3058.01,925808.80
429,23.56,3073.15,936809.75
430,23.61,3093.06,951324.48
431,23.69,3109.26,963290.67
432,23.73,3124.15,974980.75
433,23.78,3139.88,986689.30
434,23.84,3161.54,1001851.63
435,23.90,3176.52,1014199.79
436,23.96,3192.68,1026785.74
437,24.01,3208.36,1039094.77
438,24.06,3224.51,1051573.33
439,24.11,3241.84,1065000.16
440,24.16,3257.63,1078059.25
441,24.21,3273.90,1091483.14
442,24.27,3292.43,1105074.15
443,24.32,3309.41,1118554.73
444,24.39,3327.83,1135175.69
445,24.45,3346.12,1149310.77
446,24.50,3363.24,1162967.52
447,24.55,3380.31,1177595.85
448,24.61,3398.47,1192035.60
449,24.66,3416.14,1207255.89
450,24.70,3429.57,1218170.23
451,24.77,3445.81,1232568.15
452,24.83,3463.35,1247863.99
453,24.88,3480.50,1262902.24
454,24.93,3497.88,1277988.62
455,24.99,3516.68,1294306.39
456,25.04,3533.81,1310177.25
457,26.13,3826.26,1489244.78
458,26.16,3851.03,1520182.73
459,26.20,3868.21,1544701.28
460,26.26,3886.34,1568656.33
461,26.32,3906.56,1587902.35
462,26.38,3927.86,1608367.06
463,26.43,3947.44,1627557.70
464,26.49,3967.69,1647755.19
465,26.54,3987.15,1667601.07
466,26.61,4007.61,1689139.81
467,26.67,4028.60,1710814.23
468,26.73,4051.44,1731708.21
469,26.79,4071.63,1753246.85
470,26.85,4092.22,1774363.32
471,26.89,4107.72,1790902.02
472,26.95,4131.31,1813882.21
473,27.01,4152.95,1837157.27
474,27.08,4172.62,1859800.85
475,27.15,4193.85,1882252.91
476,27.21,4214.75,1904711.49
477,27.25,4231.02,1923640.36
478,27.31,4253.19,1948323.80
479,27.37,4277.30,1972118.46
480,27.43,4298.62,1996647.28
481,27.47,4314.12,2014698.21
482,27.53,4336.72,2039530.05
483,27.60,4361.62,2065700.54
484,27.66,4378.01,2085939.63
485,27.72,4399.83,2110828.55
486,27.78,4422.40,2137023.28
487,27.83,4444.10,2162762.00
488,27.88,4462.54,2183588.04
489,27.94,4485.92,2211607.03
490,27.99,4505.03,2232717.41
491,28.05,4528.63,2260236.41
492,28.14,4549.39,2287522.64
493,28.20,4572.07,2314816.80
494,28.24,4589.72,2337821.27
495,28.27,4609.27,2360136.40
496,28.35,4633.25,2389690.53
497,28.40,4650.82,2412031.68
498,28.47,4674.48,2441150.43
499,28.53,4697.79,2470277.63
500,28.58,4715.92,2494827.06
501,28.64,4740.63,2526839.76
502,28.69,4760.64,2550179.81
503,28.75,4785.73,2581683.40
504,28.81,4803.02,2605095.71
505,28.87,4826.96,2636179.07
506,28.92,4845.59,2662377.22
507,28.98,4870.97,2696539.85
508,29.03,4891.54,2721447.40
509,29.09,4917.32,2755066.74
510,29.16,4935.08,2780051.39
511,29.22,4959.68,2813222.28
512,29.26,4978.83,2841179.87
513,29.30,5000.03,2868299.70
514,29.38,5026.04,2904217.15
515,29.42,5047.63,2931368.60
516,29.50,5070.78,2966756.93
517,29.53,5089.62,2993328.89
518,29.58,5110.74,3022152.77
519,29.65,5137.51,3060931.91
520,29.70,5159.39,3090149.32
521,29.76,5177.47,3117653.22
522,29.85,5216.20,4222681.06
523,29.92,5243.53,4274727.04
524,30.01,5280.49,4341501.47
525,30.09,5310.81,4396110.84
526,30.18,5345.57,4463665.32
527,30.25,5376.27,4518681.51
528,30.36,5415.93,4588119.52
529,30.42,5447.02,4644669.64
530,30.48,5475.56,4701916.77
531,30.58,5511.37,4775231.73
532,30.65,5543.01,4834088.08
533,30.73,5574.87,4895029.24
534,30.82,5606.88,4956601.13
535,30.91,5643.58,5035285.61
536,30.97,5672.30,5096073.03
537,31.05,5702.01,5158883.86
538,31.10,5728.36,5220148.33
539,31.19,5764.79,5301396.35
540,31.26,5793.74,5366290.80
541,31.32,5819.67,5430168.96
542,31.39,5850.97,5496792.31
543,31.45,5879.29,5562533.17
544,31.52,5908.81,5630623.88
545,31.59,5939.76,5701448.41
546,31.68,5967.21,5769156.12
547,31.75,6005.16,5857484.52
548,31.83,6034.22,5927539.24
549,31.89,6062.33,5999764.68
550,31.96,6092.99,6073545.29
551,32.03,6122.47,6147720.62
552,32.09,6153.18,6221246.25
553,32.18,6185.41,6297925.22
554,32.23,6214.00,6372716.41
555,32.31,6244.07,6450545.53
556,32.37,6276.98,6531864.97
557,32.44,6306.90,6609250.44
558,32.51,6339.94,6690711.69
559,32.60,6370.62,6770731.69
560,32.66,6400.29,6853231.20
561,32.71,6425.46,6916917.68
562,32.78,6457.73,7001587.74
563,32.84,6486.64,7084931.81
564,32.91,6521.52,7171857.64
565,32.98,6553.08,7257632.04
566,33.05,6585.99,7346472.37
567,33.13,6620.49,7438879.62
568,33.22,6651.09,7527220.25
569,33.25,6674.83,7594848.96
570,33.35,6709.80,7688458.04
571,33.39,6740.81,7779762.55
572,33.48,6773.43,7874775.73
573,33.52,6802.53,7950384.16
574,33.62,6833.97,8044799.17
575,33.69,6867.04,8141013.70
576,33.76,6900.77,8241354.45
577,33.83,6936.13,8341309.75
578,33.88,6959.68,8416252.90
579,33.95,6996.35,8522353.22
580,34.02,7029.70,8623320.76
581,34.10,7066.53,8729606.10
582,34.17,7090.51,8808037.93
583,34.23,7126.85,8914866.26
584,34.30,7159.53,9027001.47
585,34.36,7181.76,9113166.62
586,34.43,7214.43,9224977.08
587,34.47,7245.42,9341531.86
588,34.54,7278.38,9456144.16
589,34.58,7302.52,9544549.41
590,34.67,7334.45,9666484.59
591,34.71,7358.78,9761735.96
592,34.77,7389.85,9881503.79
593,34.85,7415.21,9975825.40
594,34.91,7447.33,10098640.80
595,34.97,7478.77,10223819.56
596,35.00,7505.21,10317682.38
597,35.09,7538.85,10448623.52
598,35.15,7569.59,10574468.91
599,35.20,7595.79,10673032.67
600,35.26,7627.59,10800680.70
601,35.34,7659.01,10934410.09
602,35.39,7684.41,11036635.61
603,35.45,7719.65,11172665.88
604,35.51,7746.13,11279311.97
605,35.57,7777.72,11415162.35
606,35.62,7804.64,11521562.15
607,35.68,7837.32,11659358.47
608,35.75,7862.50,11768198.38
609,35.81,7895.71,11914072.32
610,35.88,7931.91,12060917.29
611,35.93,7959.12,12176041.98
612,35.97,7982.64,12286120.97
613,36.04,8019.24,12437551.57
614,36.11,8044.14,12549994.77
615,36.17,8078.69,12703795.92
616,36.21,8107.54,12822741.18
617,36.27,8141.77,12980064.83
618,36.34,8167.64,13100505.80
619,36.40,8202.13,13262894.50
620,36.45,8230.23,13382427.99
621,36.54,8265.32,13547746.84
622,36.57,8292.44,13673644.88
623,36.64,8330.46,13842177.19
624,36.71,8356.33,13970811.34
625,36.75,8383.74,14100640.88
626,36.82,8422.18,14274436.06
627,36.88,8448.33,14403485.83
628,36.94,8484.62,14580001.66
629,36.99,8510.66,14712835.10
630,37.06,8534.92,14851210.57
631,37.12,8571.58,15027576.45
632,37.15,8598.77,15172283.06
633,37.22,8626.71,15309024.67
634,37.28,8659.39,15494269.55
635,37.32,8687.79,15638256.45
636,37.41,8723.90,15836721.39
637,37.44,8753.15,15977676.07
638,37.49,8779.06,16126602.68
639,37.58,8818.99,16324461.78
640,37.63,8844.46,16483030.25
641,37.66,8875.72,16634356.90
642,37.75,8907.45,16834704.54
643,37.79,8935.06,16990675.71
644,37.86,8963.77,17155715.47
645,37.89,8993.83,17308409.85
646,37.95,9030.50,17521254.83
647,38.03,9061.48,17684078.34
648,38.08,9087.65,17855853.50
649,38.13,9115.21,18019783.70
650,38.20,9152.38,18236817.72
651,38.24,9180.74,18405779.26
652,38.31,9210.58,18585597.33
653,38.35,9242.79,18764564.96
654,38.40,9269.15,18936312.63
655,38.49,9310.98,19167578.83
656,38.54,9338.20,19345164.70
657,38.57,9370.52,19520598.65
658,38.63,9393.85,19698171.55
659,38.70,9436.58,19949822.56
660,38.77,9464.17,20134655.85
661,38.81,9496.93,20327410.56
662,38.85,9524.01,20513462.58
663,38.93,9555.65,20700641.82
664,38.95,9584.23,20894172.25
665,39.03,9615.38,21082482.91
666,39.09,9652.14,21338774.50
667,39.14,9684.51,21539467.36
668,39.20,9716.68,21746879.59
669,39.25,9746.85,21948970.78
670,39.33,9774.99,22156633.74
671,39.38,9809.18,22358806.02
672,39.41,9841.36,22566584.47
673,39.47,9868.71,22770600.43
674,39.55,9911.46,23048054.94
675,39.61,9944.38,23264176.91
676,39.65,9970.58,23481021.57
677,39.70,10002.92,23697912.01
678,39.78,10036.15,23926108.03
679,39.80,10065.80,24145433.48
680,39.88,10100.34,24366768.30
681,39.94,10129.87,24592524.19
682,39.99,10159.85,24815544.45
683,40.03,10190.24,25041283.85
684,40.08,10224.40,25276799.10
685,40.14,10258.37,25520199.61
686,40.20,10290.22,25757355.81
687,40.27,10320.31,26002495.19
688,40.32,10356.03,26238301.93
689,40.35,10390.00,26482132.20
690,40.42,10418.87,26721547.14
691,40.48,10450.47,26966872.26
692,40.53,10482.16,27207646.57
693,40.59,10518.06,27473454.54
694,40.66,10548.81,27727993.60
695,40.69,10585.33,27993441.46
696,40.75,10615.89,28251228.50
697,40.83,10650.78,28507428.60
698,40.85,10682.63,28773944.71
699,40.93,10717.34,29033272.56
700,40.98,10751.73,29299820.27
701,41.04,10787.44,29574565.13
702,41.09,10815.86,29850228.72
703,41.14,10850.95,30125950.51
704,41.22,10887.00,30416044.51
705,41.24,10919.16,30694861.80
706,41.33,10956.62,30976233.49
707,41.38,10988.66,31263225.48
708,41.42,11012.03,31451368.70
709,43.02,11825.79,35316028.70
710,43.05,11858.94,35760250.77
711,43.09,11882.39,36210058.22
712,43.11,11911.83,36651311.49
713,43.12,11945.23,37103051.31
714,43.19,11974.88,37440127.46
715,43.24,12014.16,37797503.52
716,43.31,12052.64,38135403.44
717,43.37,12090.45,38501341.16
718,43.45,12125.62,38847474.03
719,43.48,12165.80,39210440.27
720,43.54,12210.07,39685784.72
721,43.62,12247.58,40052578.15
722,43.68,12287.76,40414678.37
723,43.74,12323.35,40778013.69
724,43.80,12364.18,41169308.72
725,43.87,12398.94,41533197.87
726,43.91,12439.21,41927546.48
727,43.96,12473.77,42306597.57
728,44.04,12512.50,42710425.39
729,44.07,12551.92,43098710.37
730,44.15,12588.43,43486175.20
731,44.21,12632.19,43903457.47
732,44.27,12673.06,44320310.35
733,44.33,12708.27,44754546.84
734,44.38,12749.96,45170446.97
735,44.47,12789.55,45590212.02
736,44.49,12827.33,46013877.92
737,44.58,12870.92,46450770.65
738,44.65,12911.31,46884777.30
739,44.68,12954.50,47337039.49
740,44.76,12989.66,47784104.62
741,44.80,13021.52,48083690.50
742,44.86,13057.70,48554799.41
743,44.91,13100.54,49006014.96
744,45.00,13141.21,49461423.62
745,45.02,13180.04,49921064.35
746,45.11,13222.68,50382458.80
747,45.18,13266.32,50865914.59
748,45.24,13304.05,51356579.82
749,45.29,13346.82,51841606.69
750,45.34,13379.56,52166631.38
751,45.39,13416.74,52677743.66
752,45.45,13460.75,53167273.37
753,45.54,13502.55,53661352.24
754,45.56,13542.44,54160022.54
755,45.65,13588.46,54674261.32
756,45.72,13631.09,55198901.07
757,45.75,13655.65,55531091.78
758,45.81,13703.12,56063954.00
759,45.88,13747.45,56596267.90
760,45.94,13785.65,57150780.37
761,46.00,13814.98,57509091.30
762,46.04,13862.55,58043520.12
763,46.10,13903.33,58582911.70
764,46.18,13946.50,59142101.31
765,46.21,13987.70,59691703.74
766,46.30,14031.13,60246415.46
767,46.34,14060.98,60639290.73
768,46.40,14104.17,61199747.04
769,46.47,14153.66,61805544.35
770,46.55,14194.84,62376777.14
771,46.57,14227.81,62786687.90
772,46.65,14268.74,63347982.29
773,46.69,14316.01,63939865.80
774,46.77,14357.19,64527602.06
775,46.83,14402.88,65117481.41
776,46.86,14442.91,65706183.93
777,46.95,14487.75,66300208.69
778,47.00,14529.13,66889571.37
779,47.04,14555.13,67308939.93
780,47.10,14602.87,67951421.82
781,47.19,14651.55,68606896.11
782,47.22,14695.31,69230605.78
783,47.29,14723.99,69664652.04
784,47.33,14770.85,70283922.28
785,47.42,14816.23,70951253.79
786,47.48,14866.77,71624919.05
787,47.52,14891.43,72077581.24
788,47.58,14942.71,72747393.33
789,47.67,14986.18,73438112.51
790,47.69,15020.99,73902235.28
791,47.78,15064.20,74562899.38
792,47.81,15114.10,75278385.23
793,47.90,15157.58,75989340.29
794,47.94,15193.28,76454289.92
795,47.98,15244.61,77195647.13
796,48.06,15285.48,77920809.24
797,48.11,15322.97,78409339.37
798,48.17,15365.56,79177569.46
799,48.23,15415.96,79913359.76
800,48.28,15451.26,80414384.84
801,48.34,15496.72,81161666.22
802,48.42,15539.28,81891324.40
803,48.45,15587.21,82648202.12
804,48.53,15623.92,83153894.77
805,48.56,15667.34,83905657.68
806,48.65,15715.98,84664217.00
807,48.70,15762.42,85450994.24
808,48.75,15792.67,85982437.14
809,48.81,15840.87,86772787.53
810,48.91,15893.67,87609816.84
811,48.92,15930.78,88141461.85
812,49.01,15972.26,88960552.83
813,49.05,16026.74,89782768.99
814,49.12,16063.96,90350183.21
815,49.18,16116.66,91167005.05
816,49.26,16171.95,91991211.46
817,49.29,16201.09,92567959.87
818,49.39,16253.50,93400161.55
819,49.43,16310.00,94272831.86
820,49.51,16341.30,94835428.34
821,49.55,16397.04,95711941.49
822,49.62,16432.46,96316830.48
823,49.69,16494.93,97241059.47
824,49.73,16521.76,97826259.68
825,49.80,16575.96,98710669.89
826,49.84,16635.74,99627979.60
827,49.91,16664.96,100222536.13
828,49.98,16722.89,101133663.70
829,50.05,16774.81,102047974.90
830,50.09,16810.49,102662103.29
831,50.19,16862.69,103590232.54
832,50.22,16914.15,104516303.24
833,50.29,16953.44,105203130.36
834,50.36,17015.14,106212635.08
835,50.42,17048.35,106878539.50
836,50.48,17104.27,107871755.89
837,50.53,17146.23,108520928.62
838,50.59,17193.88,109502025.29
839,50.69,17249.50,110486470.53
840,50.70,17286.97,111156936.47
841,50.81,17347.98,112234796.15
842,50.83,17385.44,112944107.77
843,50.93,17442.82,113999384.00
844,50.97,17482.99,114685436.40
845,51.05,17542.97,115722264.05
846,51.11,17594.01,116791824.81
847,51.18,17631.43,117494682.22
848,51.23,17692.72,118592476.05
849,51.30,17726.68,119300206.03
850,51.34,17787.14,120402834.04
851,51.42,17825.56,121163766.76
852,51.49,17893.34,122326419.92
853,51.54,17922.44,123062584.72
854,51.60,17981.23,124175147.01
855,51.66,18025.34,124922437.52
856,51.72,18077.78,126077030.69
857,51.79,18140.61,127223202.63
858,51.84,18179.20,127988836.45
859,51.91,18235.65,129145935.11
860,51.96,18274.44,129923140.00
